,States,Daily cases,Cumulative,date
15,Perlis,0,44,2020-12-08
6,Perak,29,2135,2020-12-08
0,Sabah,271,31057,2020-12-08
1,Selangor,417,17255,2020-12-08
2,W.P. Kuala Lumpur,98,7311,2020-12-08
4,Kedah,10,2741,2020-12-08
5,Pulau Pinang,18,2416,2020-12-08
10,Pahang,33,463,2020-12-08
3,Negeri Sembilan,23,6022,2020-12-08
8,W.P. Labuan,0,1404,2020-12-08
9,Sarawak,2,1072,2020-12-08
11,Kelantan,2,443,2020-12-08
12,Melaka,0,399,2020-12-08
13,Terengganu,0,239,2020-12-08
7,Johor,108,2093,2020-12-08
14,W.P. Putrajaya,1,212,2020-12-08
6,Johor,100,2193,2020-12-09
7,Perak,33,2168,2020-12-09
0,Sabah,203,31260,2020-12-09
1,Selangor,277,17532,2020-12-09
2,W.P. Kuala Lumpur,129,7440,2020-12-09
4,Kedah,16,2757,2020-12-09
5,Pulau Pinang,29,2445,2020-12-09
3,Negeri Sembilan,33,6055,2020-12-09
13,Terengganu,0,239,2020-12-09
10,Pahang,119,582,2020-12-09
11,Kelantan,17,460,2020-12-09
12,Melaka,2,401,2020-12-09
14,W.P. Putrajaya,0,212,2020-12-09
15,Perlis,0,44,2020-12-09
9,Sarawak,0,1072,2020-12-09
8,W.P. Labuan,1,1405,2020-12-09
5,Pulau Pinang,34,2714,2020-12-15
0,Sabah,260,33371,2020-12-15
1,Selangor,503,22082,2020-12-15
2,W.P. Kuala Lumpur,696,8897,2020-12-15
3,Negeri Sembilan,67,6591,2020-12-15
4,Kedah,20,2847,2020-12-15
6,Johor,48,2663,2020-12-15
15,Perlis,0,45,2020-12-15
8,W.P. Labuan,11,1457,2020-12-15
10,Pahang,8,838,2020-12-15
12,Melaka,5,439,2020-12-15
11,Kelantan,3,471,2020-12-15
13,Terengganu,7,278,2020-12-15
14,W.P. Putrajaya,0,216,2020-12-15
7,Perak,110,2634,2020-12-15
9,Sarawak,0,1075,2020-12-15
5,Pulau Pinang,69,2783,2020-12-16
0,Sabah,268,33639,2020-12-16
1,Selangor,481,22563,2020-12-16
2,W.P. Kuala Lumpur,232,9129,2020-12-16
3,Negeri Sembilan,60,6651,2020-12-16
4,Kedah,9,2856,2020-12-16
6,Johor,105,2768,2020-12-16
7,Perak,35,2669,2020-12-16
8,W.P. Labuan,3,1460,2020-12-16
9,Sarawak,0,1075,2020-12-16
10,Pahang,13,851,2020-12-16
11,Kelantan,1,472,2020-12-16
12,Melaka,14,453,2020-12-16
13,Terengganu,1,279,2020-12-16
14,W.P. Putrajaya,4,220,2020-12-16
15,Perlis,0,45,2020-12-16
6,Johor,67,2835,2020-12-17
0,Sabah,184,33823,2020-12-17
1,Selangor,368,22931,2020-12-17
2,W.P. Kuala Lumpur,297,9426,2020-12-17
3,Negeri Sembilan,33,6684,2020-12-17
4,Kedah,9,2865,2020-12-17
5,Pulau Pinang,80,2863,2020-12-17
7,Perak,41,2710,2020-12-17
8,W.P. Labuan,16,1476,2020-12-17
10,Pahang,4,855,2020-12-17
11,Melaka,98,551,2020-12-17
12,Kelantan,10,482,2020-12-17
13,Terengganu,2,281,2020-12-17
14,W.P. Putrajaya,2,222,2020-12-17
15,Perlis,0,45,2020-12-17
9,Sarawak,9,1084,2020-12-17
0,Sabah,260,34083,2020-12-18
3,Negeri Sembilan,174,6858,2020-12-18
5,Pulau Pinang,37,2900,2020-12-18
4,Johor,77,2912,2020-12-18
15,Perlis,0,45,2020-12-18
1,Selangor,692,23623,2020-12-18
6,Kedah,4,2869,2020-12-18
2,W.P. Kuala Lumpur,197,9623,2020-12-18
8,W.P. Labuan,19,1495,2020-12-18
9,Sarawak,1,1085,2020-12-18
7,Perak,65,2775,2020-12-18
14,W.P. Putrajaya,6,228,2020-12-18
11,Melaka,140,691,2020-12-18
12,Kelantan,1,483,2020-12-18
10,Pahang,6,861,2020-12-18
13,Terengganu,4,285,2020-12-18
7,Perak,82,2857,2020-12-19
5,Pulau Pinang,30,2930,2020-12-19
0,Sabah,199,34282,2020-12-19
1,Selangor,401,24024,2020-12-19
2,W.P. Kuala Lumpur,281,9904,2020-12-19
4,Johor,75,2987,2020-12-19
6,Kedah,13,2882,2020-12-19
3,Negeri Sembilan,18,6876,2020-12-19
8,W.P. Labuan,19,1514,2020-12-19
9,Sarawak,2,1087,2020-12-19
11,Melaka,3,694,2020-12-19
12,Kelantan,10,493,2020-12-19
13,Terengganu,0,285,2020-12-19
14,W.P. Putrajaya,4,232,2020-12-19
15,Perlis,0,45,2020-12-19
10,Pahang,16,877,2020-12-19
6,Kedah,6,2888,2020-12-20
7,Perak,10,2867,2020-12-20
0,Sabah,196,34478,2020-12-20
1,Selangor,441,24465,2020-12-20
3,Negeri Sembilan,169,7045,2020-12-20
4,Johor,156,3143,2020-12-20
5,Pulau Pinang,30,2960,2020-12-20
2,Wp Kuala Lumpur,284,10188,2020-12-20
14,Wp Putrajaya,2,234,2020-12-20
10,Pahang,12,889,2020-12-20
11,Melaka,1,695,2020-12-20
12,Kelantan,1,494,2020-12-20
13,Terengganu,2,287,2020-12-20
15,Perlis,0,45,2020-12-20
9,Sarawak,3,1090,2020-12-20
8,Wp Labuan,27,1541,2020-12-20
15,Perlis,0,45,2020-12-21
0,Sabah,247,34725,2020-12-21
1,Selangor,1204,25669,2020-12-21
2,Wp Kuala Lumpur,127,10315,2020-12-21
3,Negeri Sembilan,58,7103,2020-12-21
4,Johor,278,3421,2020-12-21
5,Pulau Pinang,18,2978,2020-12-21
6,Kedah,3,2891,2020-12-21
7,Perak,21,2888,2020-12-21
10,Pahang,12,901,2020-12-21
11,Melaka,9,704,2020-12-21
12,Kelantan,6,500,2020-12-21
13,Terengganu,1,288,2020-12-21
14,Wp Putrajaya,5,239,2020-12-21
8,Wp Labuan,29,1570,2020-12-21
9,Sarawak,0,1090,2020-12-21
5,Pulau Pinang,43,3044,2020-12-23
0,Sabah,189,35166,2020-12-23
1,Selangor,535,27218,2020-12-23
2,Wp Kuala Lumpur,226,11045,2020-12-23
3,Negeri Sembilan,31,7191,2020-12-23
4,Johor,118,3706,2020-12-23
6,Perak,8,2913,2020-12-23
7,Kedah,14,2910,2020-12-23
8,Wp Labuan,2,1574,2020-12-23
9,Sarawak,4,1094,2020-12-23
10,Pahang,45,952,2020-12-23
11,Melaka,124,837,2020-12-23
12,Kelantan,4,508,2020-12-23
13,Terengganu,1,289,2020-12-23
14,Wp Putrajaya,4,245,2020-12-23
15,Perlis,0,45,2020-12-23
6,Perak,26,2939,2020-12-24
0,Sabah,249,35415,2020-12-24
1,Selangor,491,27709,2020-12-24
2,Wp Kuala Lumpur,379,11424,2020-12-24
3,Negeri Sembilan,144,7335,2020-12-24
4,Johor,115,3821,2020-12-24
5,Pulau Pinang,37,3081,2020-12-24
7,Kedah,4,2914,2020-12-24
8,Wp Labuan,26,1600,2020-12-24
10,Pahang,12,964,2020-12-24
11,Melaka,76,913,2020-12-24
12,Kelantan,9,517,2020-12-24
13,Terengganu,7,296,2020-12-24
14,Wp Putrajaya,4,249,2020-12-24
15,Perlis,0,45,2020-12-24
9,Sarawak,2,1096,2020-12-24
0,Sabah,225,35640,2020-12-25
3,Negeri Sembilan,89,7424,2020-12-25
5,Pulau Pinang,25,3106,2020-12-25
4,Johor,205,4026,2020-12-25
15,Perlis,0,45,2020-12-25
1,Selangor,461,28170,2020-12-25
6,Perak,55,2994,2020-12-25
2,Wp Kuala Lumpur,140,11564,2020-12-25
8,Wp Labuan,8,1608,2020-12-25
9,Sarawak,3,1099,2020-12-25
7,Kedah,0,2914,2020-12-25
14,Wp Putrajaya,7,256,2020-12-25
11,Melaka,14,927,2020-12-25
12,Kelantan,4,521,2020-12-25
10,Pahang,11,975,2020-12-25
13,Terengganu,0,296,2020-12-25
7,Kedah,16,2930,2020-12-26
5,Pulau Pinang,58,3164,2020-12-26
0,Sabah,248,35888,2020-12-26
1,Selangor,710,28880,2020-12-26
2,Wp Kuala Lumpur,728,12292,2020-12-26
4,Johor,412,4438,2020-12-26
6,Perak,26,3020,2020-12-26
3,Negeri Sembilan,33,7457,2020-12-26
8,Wp Labuan,16,1624,2020-12-26
9,Sarawak,6,1105,2020-12-26
11,Melaka,5,932,2020-12-26
12,Kelantan,54,575,2020-12-26
13,Terengganu,0,296,2020-12-26
14,Wp Putrajaya,3,259,2020-12-26
15,Perlis,1,46,2020-12-26
10,Pahang,19,994,2020-12-26
6,Perak,17,3114,2020-12-29
7,Kedah,8,2977,2020-12-29
0,Sabah,230,36461,2020-12-29
1,Selangor,747,30716,2020-12-29
3,Negeri Sembilan,60,7716,2020-12-29
4,Johor,110,4933,2020-12-29
5,Pulau Pinang,57,3327,2020-12-29
2,Wp Kuala Lumpur,360,13048,2020-12-29
14,Wp Putrajaya,2,276,2020-12-29
10,Sarawak,4,1114,2020-12-29
11,Melaka,9,978,2020-12-29
12,Kelantan,31,665,2020-12-29
13,Terengganu,2,306,2020-12-29
15,Perlis,0,46,2020-12-29
9,Pahang,288,1302,2020-12-29
8,Wp Labuan,0,1636,2020-12-29
4,Johor,607,5540,2020-12-30
3,Negeri Sembilan,34,7750,2020-12-30
5,Pulau Pinang,69,3396,2020-12-30
1,Selangor,472,31188,2020-12-30
0,Sabah,280,36741,2020-12-30
6,Perak,48,3162,2020-12-30
